id, Ganhou
0, False
1, False
2, False
3, False
4, False
5, False
6, False
7, False
8, False
9, True
10, False
11, False
12, False
13, False
14, True
15, False
16, True
17, False
18, False
19, False
20, False
21, False
22, False
23, False
24, False
25, False
26, False
27, False
28, True
29, True
30, False
31, False
32, False
33, False
34, False
35, True
36, True
37, False
38, False
39, True
40, False
41, False
42, True
43, True
44, True
45, False
46, True
47, False
48, False
49, False
50, True
51, False
52, True
53, False
54, True
55, True
56, True
57, False
58, True
59, False
60, False
61, True
62, False
63, False
64, False
65, False
66, False
67, False
68, False
69, False
70, True
71, False
72, False
73, True
74, True
75, True
76, True
77, False
78, False
79, False
80, False
81, False
82, False
83, False
84, True
85, False
86, False
87, False
88, False
89, False
90, False
91, True
92, False
93, False
94, False
95, True
96, False
97, False
98, False
99, True
100, True
101, False
102, False
103, True
104, True
105, False
106, True
107, False
108, False
109, True
110, True
111, True
112, False
113, False
114, True
115, False
116, True
117, False
118, False
119, False
120, True
121, False
122, False
123, False
124, False
125, True
126, False
127, False
128, True
129, False
130, False
131, False
132, False
133, False
134, True
135, True
136, False
137, False
138, False
139, False
140, True
141, False
142, True
143, True
144, True
145, False
146, True
147, False
148, True
149, False
150, False
151, False
152, True
153, False
154, False
155, False
156, False
157, True
158, False
159, True
160, False
161, True
162, False
163, True
164, True
165, True
166, False
167, True
168, False
169, False
170, False
171, False
172, True
173, False
174, False
175, False
176, True
177, False
178, False
179, False
180, True
181, False
182, True
183, True
184, False
185, False
186, False
187, False
188, False
189, True
190, False
191, False
192, False
193, False
194, False
195, False
196, False
197, False
198, False
199, False
200, False
201, True
202, True
203, False
204, True
205, False
206, True
207, True
208, False
209, True
210, True
211, False
212, False
213, False
214, True
215, False
216, True
217, False
218, True
219, True
220, True
221, False
222, True
223, True
224, False
225, False
226, True
227, True
228, False
229, False
230, False
231, True
232, False
233, False
234, False
235, False
236, True
237, True
238, True
239, False
240, False
241, True
242, True
243, True
244, False
245, False
246, True
247, True
248, False
249, False
250, False
251, True
252, False
253, False
254, False
255, False
256, False
257, True
