id, ganhou
0, False
1, True
2, False
3, False
4, False
5, True
6, False
7, True
8, False
9, True
10, True
11, True
12, True
13, True
14, False
15, True
16, False
17, True
18, False
19, True
20, True
21, True
22, True
23, True
24, True
25, True
26, True
27, True
28, True
29, True
30, False
31, True
32, False
33, True
34, False
35, True
36, False
37, False
38, True
39, True
40, False
41, True
42, True
43, True
44, True
45, True
46, True
47, False
48, True
49, False
50, True
51, True
52, True
53, False
54, True
55, True
56, True
57, True
58, True
59, True
60, False
61, True
62, True
63, True
64, True
65, True
66, True
67, True
68, True
69, True
70, True
71, True
72, False
73, False
74, True
75, False
76, False
77, True
78, True
79, False
80, True
81, True
82, True
83, True
84, True
85, True
86, True
87, True
88, True
89, True
90, False
91, True
92, True
93, False
94, False
95, True
96, True
97, False
98, True
99, True
100, False
101, True
102, True
103, True
104, False
105, True
106, True
107, True
108, True
109, False
110, True
111, False
112, False
113, True
114, False
115, True
116, False
117, False
118, False
119, False
120, False
121, True
122, True
123, True
124, True
125, True
126, False
127, False
128, True
129, True
130, True
131, False
132, False
133, True
134, False
135, True
136, True
137, False
138, True
139, True
140, True
141, True
142, False
143, False
144, True
145, True
146, True
147, True
148, False
149, True
150, True
151, True
152, True
153, True
154, False
155, True
156, True
157, False
158, True
159, True
160, True
161, False
162, True
163, True
164, True
165, True
166, True
167, True
168, False
169, True
170, True
171, False
172, True
173, True
174, True
175, False
176, True
177, True
178, True
179, True
180, True
181, True
182, True
183, True
184, True
185, True
186, True
187, False
188, False
189, True
190, True
191, False
192, True
193, True
194, False
195, True
196, True
197, False
198, True
199, True
200, True
201, True
202, False
203, True
204, False
205, False
206, True
207, True
208, False
209, True
210, False
211, True
212, True
213, False
214, True
215, True
216, True
217, True
218, True
219, False
220, True
221, False
222, True
223, False
224, True
225, True
226, True
227, True
228, True
229, True
230, False
231, True
232, True
233, True
234, False
235, False
236, True
237, False
238, True
239, True
240, True
241, True
242, True
243, True
244, True
245, False
246, False
247, True
248, True
249, True
250, True
251, False
252, True
253, False
254, False
255, True
256, False
257, True
258, True
259, False
260, True
261, True
262, True
263, True
264, False
265, True
266, False
267, True
268, True
269, True
270, False
271, True
272, True
273, True
274, True
275, True
276, True
277, True
278, True
279, False
280, True
281, False
282, False
283, True
284, True
285, False
286, False
287, False
288, True
289, False
290, False
291, False
292, False
293, False
294, False
295, False
296, False
297, True
298, True
299, True
300, False
301, False
302, True
303, False
304, True
305, True
306, False
307, False
308, False
309, True
310, True
311, False
312, True
313, True
314, False
315, True
316, True
317, False
318, False
319, True
320, False
321, True
322, True
323, True
324, False
325, False
326, False
327, True
328, True
329, False
330, True
331, False
332, True
333, False
334, True
335, True
336, False
337, False
338, True
339, True
340, True
341, True
342, True
343, True
344, True
345, False
346, False
347, True
348, True
349, True
350, True
351, True
352, True
353, False
354, True
355, True
356, True
357, True
358, True
359, True
360, True
361, False
362, True
363, True
364, True
365, False
366, True
367, False
368, True
369, False
370, False
371, False
372, True
373, True
374, True
375, True
376, True
377, True
378, True
379, True
380, False
381, False
382, True
383, False
384, True
385, False
386, True
387, True
388, True
389, True
390, True
391, False
392, True
393, True
394, True
395, True
396, True
397, True
398, False
399, True
400, True
401, False
402, True
403, True
404, False
405, True
406, False
407, True
408, True
409, False
410, True
411, True
412, False
413, False
414, False
415, True
416, False
417, True
418, True
419, True
420, True
421, True
422, False
423, False
424, False
425, True
426, True
427, True
428, False
429, False
430, True
431, True
432, True
433, True
434, False
435, False
436, True
437, True
438, False
439, False
440, True
441, False
442, True
443, False
444, True
445, False
446, True
447, True
448, True
449, False
450, True
451, False
452, True
453, False
454, False
455, True
456, True
457, False
458, True
459, True
460, True
461, True
462, True
463, True
464, True
465, False
466, False
467, False
468, True
469, False
470, True
471, True
472, True
473, True
474, True
475, False
476, True
477, False
478, True
479, True
480, True
481, True
482, True
483, False
484, False
485, True
486, True
487, False
488, True
489, True
490, True
491, False
492, True
493, False
494, True
495, False
496, False
497, True
498, True
499, False
500, True
501, True
502, True
503, True
504, False
505, True
506, False
507, False
508, False
509, True
510, True
511, True
512, False
513, False
514, True
515, False
516, True
517, True
518, True
519, True
520, True
521, True
522, False
523, False
524, True
525, False
526, True
527, True
528, False
529, True
530, True
531, True
532, False
533, True
534, True
535, True
536, True
537, False
538, True
539, True
540, True
541, True
